"","x"
"467",49.3
"468",44.4
"469",47.6
"470",47.9
"471",43.4
"472",37.9
"473",36.3
"474",46.8
"475",43.1
"476",42.5
"477",34.4
"478",62.7
"479",34.6
"480",32.2
"481",30.3
"482",36.7
"483",33.4
"484",34.4
"485",49.7
"486",50.2
"487",37.7
"488",42.6
"489",39.1
"490",43.6
"491",39.4
"492",33.2
"493",21.4
"494",17.1
"495",27.7
"496",35
"497",26
"498",23.2
"499",18.8
"500",24
"501",37.6
"502",30
"503",35.8
"504",40.3
"505",23.5
"506",18.2
"507",21.6
"508",20.5
"509",19
"510",40.3
"511",24.1
"512",43.3
"513",20.4
"514",26.6
"515",40.9
"516",43.5
"517",23
"518",30.1
"519",19.4
"520",16.3
"521",18.1
"522",15.5
"523",27.4
"524",16.8
"525",17.2
"526",12.7
"527",16.5
"528",14.8
"529",21.2
"530",17
"531",22.7
"532",26.4
"533",19.2
"534",18.9
"535",16.8
"536",18.9
"537",19.4
"538",23.7
"539",21.4
"540",19.8
"541",28.5
"542",22.2
"543",33.1
"544",24.7
"545",20.1
"546",25.2
"547",21.3
"548",18.9
"549",21.5
"550",27.6
"551",21.6
"552",27.2
"553",26.5
"554",27
"555",23.2
"556",20.4
"557",20
"558",23.1
"559",19.5
"560",28.2
"561",30.2
"562",26.9
"563",23.2
"564",23.7
"565",20.9
"566",23.7
"567",21.8
"568",20.6
"569",25.2
"570",32.3
"571",38.2
"572",27
"573",28.4
"574",22.4
"575",19.8
"576",20.6
"577",27.3
"578",26.9
"579",22.4
"580",27
"581",33.9
"582",43.9
"583",38.1
"584",32.8
"585",22.8
"586",23.9
"587",27.3
"588",26.4
"589",24.9
"590",20.4
"591",83.1
"592",77.6
"593",43.3
"594",48.5
"595",29.6
"596",51
"597",34.5
"598",45.5
"599",48.7
"600",45.6
"601",32.1
"602",36.5
"603",31.5
"604",39.5
"605",42.5
"606",36.3
"607",39.9
"608",29.4
"609",38
"610",38.2
"611",32.7
"612",35.3
"613",36.7
"614",33.5
"615",32.6
"616",33.2
"617",33.5
"618",25.9
"619",33.3
"620",28
"621",31.7
"622",28.3
"623",29.7
"624",42.8
"625",49.3
"626",47.2
"627",40.9
"628",23.2
"629",30.3
"630",43.8
"631",34.8
"632",64.8
"633",34
"634",33.3
"635",29
"636",51.3
"637",43.7
"638",47.5
"639",50.6
"640",45.9
"641",23
"642",27
"643",46.4
"644",65
"645",32
"646",31.9
"647",39
"648",35.4
"649",27.1
"650",35.8
"651",44.2
"652",34.3
"653",40.4
"654",24.2
"655",37.4
"656",39.3
"657",27.4
"658",28
"659",51.3
"660",46.1
"661",69.8
"662",29.2
"663",32
"664",25.8
"665",30.2
"666",27.1
"667",33.4
"668",35.8
"669",31.5
"670",51.8
"671",53
"672",39.7
"673",34.3
"674",29.8
"675",30
"676",30.4
"677",35.8
"678",33.8
"679",46.6
"680",42.2
"681",27.7
"682",31.3
"683",45.7
"684",42.1
"685",41.2
"686",43.3
"687",55.8
"688",70
"689",57.3
"690",43.4
"691",33
"692",61.8
"693",31.9
"694",32.1
"695",18.8
"696",23.3
"697",30.3
"698",61.6
"699",75
"700",30.9
"701",24.7
"702",33.3
"703",43.4
"704",23.5
"705",71.7
"706",53.8
"707",48.2
"708",40
"709",36.2
"710",55.2
"711",44.6
"712",49.1
"713",23.7
"714",41.1
"715",23.5
"716",23
"717",29.4
"718",24.8
"719",23.3
"720",22.4
"721",22.9
"722",23.7
"723",31.8
"724",38.6
"725",30.9
"726",31.1
"727",43.7
"728",51.9
"729",61.8
"730",51.7
"731",53.1
"732",60
"733",66.3
"734",79.9
"735",59
"736",62.6
"737",74
"738",55.8
"739",49.2
"740",36.5
"741",34.7
"742",28.8
"743",27.5
"744",32.7
"745",28.2
"746",22
"747",19.9
"748",20.7
"749",24.6
"750",35.1
"751",41.7
"752",32.6
"753",43
"754",37.3
"755",50
"756",55.7
"757",56.5
"758",51.1
"759",52.5
"760",43.5
"761",31.3
"762",24.5
"763",54.2
"764",30.8
"765",54.7
"766",54.8
"767",41.7
"768",87
"769",57.4
"770",90
"771",43.1
"772",44.3
"773",46.4
"774",52.2
"775",36.2
"776",29.3
"777",37.5
"778",40.7
"779",41.3
"780",38.8
"781",52.3
"782",59.5
"783",60.1
"784",40
"785",39
"786",69.7
"787",53.8
"788",63.3
"789",71
"790",74.9
"791",54
"792",64.8
"793",63.6
"794",52.3
"795",55.4
"796",88.4
"797",92.8
"798",68.7
"799",54.4
"800",64.3
"801",68.9
"802",54
"803",72.4
"804",64.3
"805",50.8
"806",67.8
"807",90.2
"808",90.6
"809",80.1
"810",56.1
"811",50.6
"812",58
"813",57.5
"814",56.9
"815",63.1
"816",75.2
"817",67.9
