"","x"
"1",39.3333333333333
"2",27.7333333333333
"3",30.3
"4",33.6086956521739
"5",32.9166666666667
"6",20.125
"7",23.7083333333333
"8",23.48
"9",29.25
"10",27.6086956521739
"11",30.4958333333333
"12",33.9652173913043
"13",29.75
"14",29.75
"15",43.5
"16",31.1208333333333
"17",26.0625
"18",24.4166666666667
"19",26.6590909090909
"20",20.7458333333333
"21",17.8458333333333
"22",29.1541666666667
"23",33.9541666666667
"24",31.8541666666667
"25",32.8708333333333
"26",38.4791666666667
"27",36.2916666666667
"28",24.875
"29",32.1916666666667
"30",38.2083333333333
"31",34.6666666666667
"32",39.9583333333333
"33",36.8333333333333
"34",41.5416666666667
"35",30.3333333333333
"36",36.1666666666667
"37",48.3913043478261
"38",31.5416666666667
"39",42.3333333333333
"40",32.4380952380952
"41",30.4416666666667
"42",23.8695652173913
"43",31.1208333333333
"44",40.875
"45",33.304347826087
"46",32.9428571428571
"47",33.8153846153846
"48",27.8125
"49",24.7391304347826
"50",34.9583333333333
"51",34.8333333333333
"52",45.8695652173913
"53",40.2083333333333
"54",41.6666666666667
"55",32.6666666666667
"56",27.8
"57",34.4583333333333
"58",39.5833333333333
"59",42.375
"60",44.4166666666667
"61",32.5833333333333
"62",35.125
"63",37.75
"64",44.2583333333333
"65",35.7583333333333
"66",31.4666666666667
"67",25.3041666666667
"68",32.7541666666667
"69",29.0416666666667
"70",17.9086956521739
"71",35.2958333333333
"72",40.1666666666667
"73",40.4
"74",49.4583333333333
"75",36.2833333333333
"76",35.1625
"77",40.7391304347826
"78",30.8695652173913
"79",38.0833333333333
"80",41.2565217391304
"81",44.75
"82",56.1904761904762
"83",33.5
"84",27.625
"85",39.75
"86",40.725
"87",40.4333333333333
"88",16.7166666666667
"89",19.8181818181818
"90",19.7083333333333
"91",17.4090909090909
"92",31.2083333333333
"93",43.7142857142857
"94",36.6666666666667
"95",40.8625
"96",30.875
"97",33.25
"98",32.4166666666667
"99",36.0916666666667
"100",35
"101",48.7086956521739
"102",34.3416666666667
"103",45.9428571428571
"104",28.375
"105",22.0291666666667
"106",31.8625
"107",33.5916666666667
"108",29.125
"109",29.4666666666667
"110",36.7833333333333
"111",32.5958333333333
"112",21.1083333333333
"113",26.6458333333333
"114",30.6291666666667
"115",37.3166666666667
"116",30.1625
"117",31.6791666666667
"118",31.9875
"119",27.875
"120",37.7833333333333
"121",31.875
"122",28.6
"123",28.0083333333333
"124",29.5217391304348
"125",25.7458333333333
"126",20.4782608695652
"127",28.5739130434783
"128",36.7222222222222
"129",28.0869565217391
"130",35.4166666666667
"131",28.95
"132",27.6
"133",18.75
"134",16.8428571428571
"135",20.7083333333333
"136",33.2666666666667
"137",30.6083333333333
"138",37.525
"139",40.3666666666667
"140",16.3333333333333
"141",30.5357142857143
"142",44.5375
"143",22.4571428571429
"144",44.2882352941176
"145",33.0555555555556
"146",30.7583333333333
"147",18.1666666666667
"148",32.8695652173913
"149",21.5454545454545
"150",28
"151",35.5333333333333
"152",35.2875
"153",27.525
"154",13.25
"155",13.0208333333333
"156",25.1958333333333
"157",29.5875
"158",34.3291666666667
"159",27.0125
"160",40.985
"161",16.8782608695652
"162",13.9375
"163",33.6333333333333
"164",41.3333333333333
"165",29.5916666666667
"166",40.4791666666667
"167",38.8958333333333
"168",17.1416666666667
"169",26
"170",29.0041666666667
"171",34.0375
"172",31.0208333333333
"173",34.5708333333333
"174",28.6291666666667
"175",18.9666666666667
"176",20.5
"177",31.8583333333333
"178",30.3916666666667
"179",35.6695652173913
"180",41.2304347826087
"181",26.8291666666667
"182",18.9916666666667
"183",19.3
"184",35.3291666666667
"185",29.9541666666667
"186",36.3208333333333
"187",26.6875
"188",24.175
"189",19.1625
"190",32.5
"191",34.125
"192",35.6375
"193",30.4652173913043
"194",32.175
"195",24.0263157894737
"196",12.2
"197",22.5875
"198",27.2083333333333
"199",29.5416666666667
"200",28.575
"201",18.1541666666667
"202",21.8791666666667
"203",26.4333333333333
"204",32.8416666666667
"205",27.8125
"206",28.575
"207",28.2625
"208",29.35
"209",20.55
"210",16.2583333333333
"211",26.0375
"212",48.85
"213",35.1625
"214",36.8166666666667
"215",57.2352941176471
"216",25.2125
"217",20.1666666666667
"218",30.5041666666667
"219",23.1875
"220",28.8125
"221",28.7045454545455
"222",27.05
"223",28.0125
"224",19.5416666666667
"225",28.2916666666667
"226",32.2916666666667
"227",36.7
"228",36.6208333333333
"229",30.2583333333333
"230",29.9875
"231",18.2166666666667
"232",18.0315789473684
"233",25.2875
"234",31.0083333333333
"235",35.0291666666667
"236",38.4166666666667
"237",31.9291666666667
"238",15.8173913043478
"239",37.6041666666667
"240",43.8217391304348
"241",33.7708333333333
"242",31.6541666666667
"243",41.5166666666667
"244",36.8083333333333
"245",27.4583333333333
"246",29.1666666666667
"247",30.2708333333333
"248",33.1833333333333
"249",31.4916666666667
"250",31.7083333333333
"251",25.0333333333333
"252",17.85
"253",25.2291666666667
"254",38.4916666666667
"255",49.825
"256",47.6583333333333
"257",47.95
"258",31.3041666666667
"259",26.8142857142857
"260",45.325
"261",40.2166666666667
"262",35.2181818181818
"263",30.9458333333333
"264",42.2045454545455
"265",27.0041666666667
"266",19.4083333333333
"267",29.3333333333333
"268",38
"269",42.0833333333333
"270",27.0625
"271",37.0083333333333
"272",34.2521739130435
"273",25.1625
"274",31.304347826087
"275",27.9958333333333
"276",34.1739130434783
"277",27.9208333333333
"278",34.0541666666667
"279",22.3652173913043
"280",21.0416666666667
"281",19.3458333333333
"282",24.5375
"283",39.35
"284",35.9375
"285",38.1375
"286",39.1125
"287",33.875
"288",15.8666666666667
"289",28.675
"290",37.2166666666667
"291",41.35
"292",43.1208333333333
"293",22.5541666666667
"294",18.3347826086957
"295",29.9625
"296",17.1086956521739
"297",24.3166666666667
"298",28.4681818181818
"299",19.7391304347826
"300",15.3181818181818
"301",16.2173913043478
"302",24.1304347826087
"303",29.5909090909091
"304",24.7826086956522
"305",27.7291666666667
"306",33.3916666666667
"307",26.3833333333333
"308",29.4583333333333
"309",13.6958333333333
"310",31.3708333333333
"311",36.447619047619
"312",28.0428571428571
"313",26.6666666666667
"314",27.125
"315",23.875
"316",18.0391304347826
"317",40.2916666666667
"318",48.1772727272727
"319",46.2388888888889
"320",32.0888888888889
"321",34
"322",23.6461538461538
"323",35.8933333333333
"324",27.75625
"325",32.5117647058824
"326",39.3625
"327",24.0583333333333
"328",43.0958333333333
"329",27.2958333333333
"330",31.9041666666667
"331",37.6125
"332",29.05
"333",30.7291666666667
"334",35.1708333333333
"335",23.3333333333333
"336",21.4166666666667
"337",48.5217391304348
"338",39.7916666666667
"339",29.4583333333333
"340",39.75
"341",70.2
"342",54.0909090909091
"343",36.2173913043478
"344",31.4545454545455
"345",28.4458333333333
"346",31.4875
"347",27.1916666666667
"348",31.3333333333333
"349",45.2583333333333
"350",28.0333333333333
"351",37.9583333333333
"352",57.05
"353",41.5416666666667
"354",36.8958333333333
"355",37.75
"356",26.0454545454545
"357",30.2625
"358",31.4583333333333
"359",36.25
"360",34.6791666666667
"361",35.2875
"362",30.8583333333333
"363",22.4125
"364",23.2916666666667
"365",27.7578947368421
"366",22.0458333333333
"367",19.575
"368",23.1111111111111
"369",30.8333333333333
"370",29.3833333333333
"371",24.225
"372",25.7916666666667
"373",29.9166666666667
"374",27.8727272727273
"375",16.625
"376",35.5454545454545
"377",41.3208333333333
"378",32.7083333333333
"379",29.725
"380",26.7916666666667
"381",28.5958333333333
"382",31.075
"383",24.3416666666667
"384",24.425
"385",16.5583333333333
"386",29.7375
